year,color,variety,bearing_acres,non_bearing_acres,total_acres,tons,price_per_ton_usd,value_usd
2010,red,Merlot,5248.0,55.6,5303.6,17440.9,1297.08,22622300
2010,red,Meunier,108.5,15.0,123.5,406.5,2928.56,1190500
2010,red,Petite Sirah,522.6,37.7,560.3,2085.9,2377.94,4960200
2010,red,Petite Verdot,202.9,9.2,212.1,695.5,2476.49,1722400
2010,red,Pinot Noir,11456.0,675.5,12131.5,29791.3,2825.12,84164000
2010,red,Sangiovese,259.7,48.4,308.1,983.6,2244.09,2207300
2010,red,Syrah-Shiraz,1791.6,51.7,1843.3,4587.6,2030.22,9313900
2010,red,Zinfandel,5055.0,112.5,5167.5,10864.4,2260.27,24556500
2010,red,Other Reds,466.6,48.0,514.6,1214.8,,9416500
2010,white,Chardonnay,15060.0,1263.0,16323.0,66157.4,1845.52,122094900
2010,white,French Colombard,35.6,0.0,35.6,125.1,523.06,65500
2010,white,Gewürztraminer,138.1,5.1,143.2,274.6,1712.28,470200
2010,white,Muscat Blanc,18.0,12.4,30.4,67.1,1941.23,130000
2010,white,Pinot Blanc,46.4,0.0,46.4,237.6,1767.14,419900
2010,white,Pinot Gris,445.5,22.5,468.0,1715.8,1695.78,2909700
2010,white,Sauvignon Blanc,2341.0,183.2,2524.2,13103.3,1317.40,17262300
2010,white,Semillon,133.4,0.0,133.4,440.6,2575.91,1135000
2010,white,Viognier,231.5,2.6,234.1,623.4,2313.36,1442200
2010,white,White Riesling,29.9,2.9,32.8,148.3,2425.53,359800
2010,white,Other Whites,238.4,39.4,277.8,606.8,,4799400
2011,red,Cabernet Franc,655.9,6.7,662.6,1568.6,2209.15,3465300
2011,red,Cabernet Sauvignon,11726.8,291.5,12018.3,33126.8,2111.24,69938700
2011,red,Carignane,615.4,0.0,615.4,373.2,2019.14,753600
2011,red,Malbec,322.4,76.6,399.0,1110.5,2340.51,2599200
2011,red,Merlot,5126.6,23.4,5149.9,14670.5,1380.85,20257800
2011,red,Meunier,108.5,15.0,123.5,301.4,2698.80,813500
2011,red,Petite Sirah,575.0,22.2,597.1,2521.1,2325.25,5862200
